Tipo,Valor
Crimes contra as pessoas,86383
Crimes de homicídio voluntário consumado,89
Crimes contra a integridade física,56460
Ofensa à integridade física voluntária simples,23279
Violência doméstica contra cônjuge ou análogos,24793
Crimes contra o património,172357
Roubo por esticão e na via pública,8941
Furto de veículo e em veículo motorizado,31352
Crimes contra a identidade cultural e integridade pessoal,91
Crimes contra a vida em sociedade,42529
Condução de veículo com taxa de álcool igual ou superior a 1.2 g/l,16872
Crimes contra o estado,5269
Crimes contra animais de companhia,2014
Crimes previstos em legislação avulsa,26971
Condução sem habilitação legal,9664